matchkey_skill_norm,example_original,freq_candidates,freq_jobs,freq_total,source,match_type,esco_uri,esco_preferred_label,similarity,best_candidate_below_threshold
cultura de ingenieria moderna basada en calidad y autonomia,Cultura de ingeniería moderna basada en calidad y autonomía,0,1,1,job,none,,,0.3125,patient autonomy
carrera profesional definida,Carrera profesional definida,0,1,1,job,none,,,0.3579,provide professional care in nursing
acceso a comunidad tecnologica de everfield,Acceso a comunidad tecnológica de Everfield,0,1,1,job,none,,,0.2814,inspect airfield facilities
microsoft,Microsoft,0,1,1,job,contains,http://data.europa.eu/esco/skill/3d03c40c-1b83-4793-8902-2523f40af59e,Microsoft Access,0.5,
agentes inteligentes,agentes inteligentes,0,1,1,job,none,,,0.3109,business intelligence
llm integration,LLM integration,0,1,1,job,fuzzy,http://data.europa.eu/esco/skill/6fa1c2c0-a012-4ca0-9642-e01569ba322c,ICT system integration,0.7013,
ability to articulate complex concepts,ability to articulate complex concepts,0,1,1,job,none,,,0.3978,create new concepts
verbal and written communication,verbal and written communication,0,1,1,job,none,,,0.6145,communication
english (high),English (high),0,1,1,job,fuzzy,http://data.europa.eu/esco/skill/6d3edede-8951-4621-a835-e04323300fa0,English,0.9264,
data & analytics,Data & Analytics,0,1,1,job,fuzzy,http://data.europa.eu/esco/skill/1605025e-a179-421f-8f35-5b07d182a6b2,web analytics,0.7291,
dias extra de vacaciones,Días extra de vacaciones,0,1,1,job,none,,,0.2825,advise customers on vehicle's extra services
conocimiento del sector industrial/manufacturing,Conocimiento del sector industrial/manufacturing,0,1,1,job,none,,,0.5905,manufacturing industrial braids
disponibilidad en las fechas y horarios indicados,disponibilidad en las fechas y horarios indicados,0,1,1,job,none,,,0.2245,horary astrology
salario 9€/hora + incentivos por objetivos,Salario 9€/hora + incentivos por objetivos,0,1,1,job,none,,,0.3104,determine salaries
dynamic innovative environment,dynamic innovative environment,0,1,1,job,none,,,0.4286,create innovative desserts
opportunity to continue in top tech campaigns,opportunity to continue in top tech campaigns,0,1,1,job,none,,,0.4805,develop campaigns
product and sales training,product and sales training,0,1,1,job,none,,,0.504,provide training
video game knowledge,video game knowledge,0,1,1,job,none,,,0.6646,assess ICT knowledge
technology passion,technology passion,0,1,1,job,none,,,0.577,audio technology
jni,JNI,0,1,1,job,none,,,0.295,Romani
ejb,EJB,0,1,1,job,none,,,0.1928,eject filled capsules
struts,Struts,0,1,1,job,none,,,0.3084,wood cuts
technical documentation,Technical documentation,0,1,1,job,contains,http://data.europa.eu/esco/skill/04dfd9fb-e0cf-40f6-96c6-9d2280c4347e,provide technical documentation,0.6667,
refactoring,Refactoring,0,1,1,job,none,,,0.2659,manage factory operations
unit test coverage >60%,Unit test coverage >60%,0,1,1,job,none,,,0.4136,assess coverage possibilities
vulnerability remediation,Vulnerability remediation,0,1,1,job,none,,,0.6015,perform security vulnerability assessments
certificaciones oficiales de microsoft,Certificaciones oficiales de Microsoft,0,1,1,job,none,,,0.5065,use microsoft office
budget para equipamiento tecnologico,Budget para equipamiento tecnológico,0,1,1,job,none,,,0.4382,budget set costs
hybrid work / teletrabajo,Hybrid work / teletrabajo,0,1,1,job,none,,,0.6165,Hybrid model
pensamiento sistemico,Pensamiento sistémico,0,1,1,job,none,,,0.2687,apply systemic therapy
espiritu emprendedor,Espíritu emprendedor,0,1,1,job,none,,,0.3568,spiritualism
liderazgo transversal,Liderazgo transversal,0,1,1,job,none,,,0.1891,plan aftersales arrangements
narrativa de valor,Narrativa de valor,0,1,1,job,none,,,0.5022,create animated narratives
comunicacion persuasiva,Comunicación persuasiva,0,1,1,job,none,,,0.4777,present arguments persuasively
capacidad para conectar negocio y tecnologia,Capacidad para conectar negocio y tecnología,0,1,1,job,none,,,0.3209,plan ICT capacity
excellent communication,Excellent communication,0,1,1,job,none,,,0.6082,communication
exceptional presentation skills,Exceptional presentation skills,0,1,1,job,none,,,0.4174,prepare presentation material
data ethics,Data Ethics,0,1,1,job,fuzzy,http://data.europa.eu/esco/skill/cef5c0f8-1e40-4c09-b6a7-aa7811849e5d,ethics,0.8508,
ambiente laboral colaborativo,Ambiente laboral colaborativo,0,1,1,job,none,,,0.4653,laboratory equipment
posibilidad de teletrabajo y flexibilidad horaria,Posibilidad de teletrabajo y flexibilidad horaria,0,1,1,job,none,,,0.2237,perform services in a flexible manner
formacion continua y desarrollo profesional,Formación continua y desarrollo profesional,0,1,1,job,none,,,0.3345,conduct continuing professional development workshops
documentacion tecnica,Documentación técnica,0,1,1,job,none,,,0.5727,use technical documentation
sector financiero,Sector financiero,0,1,1,job,none,,,0.5127,liaise with financiers
ingles tecnico,Inglés técnico,0,1,1,job,none,,,0.2633,consult to produce single malt beverages
bases de datos,Bases de datos,0,1,1,job,none,,,0.4049,use databases
arquitecturas cloud,Arquitecturas cloud,0,1,1,job,none,,,0.4798,cloud technologies
financial advantages as part of a banking group,Financial advantages as part of a banking group,0,1,1,job,none,,,0.3408,financial products
training and development initiatives,Training and development initiatives,0,1,1,job,none,,,0.4053,develop training programmes
flexible compensation program,Flexible compensation program,0,1,1,job,none,,,0.4459,perform services in a flexible manner
internal apis,Internal APIs,0,1,1,job,none,,,0.5652,internal auditing
java web start,Java Web Start,0,1,1,job,none,,,0.3099,Java (computer programming)
dynamic and innovative gaming-oriented environment,Dynamic and innovative gaming-oriented environment,0,1,1,job,none,,,0.347,create innovative desserts
opportunity to continue in top technological campaigns,Opportunity to continue in top technological campaigns,0,1,1,job,none,,,0.4459,develop campaigns
complete product and sales training,Complete product and sales training,0,1,1,job,none,,,0.4097,complete administration
passion for technology and gaming,passion for technology and gaming,0,1,1,job,none,,,0.4602,audio technology
reparto de beneficios,Reparto de beneficios,0,1,1,job,none,,,0.4462,communicate with beneficiaries
oficina bankinter con condiciones especiales,Oficina Bankinter con condiciones especiales,0,1,1,job,none,,,0.2978,banking activities
fundacion accenture,Fundación Accenture,0,1,1,job,none,,,0.3276,joint ventures
programas de sostenibilidad,Programas de sostenibilidad,0,1,1,job,none,,,0.2678,develop program ideas
compra de acciones,Compra de acciones,0,1,1,job,none,,,0.2278,lay stones
programas de bienestar,Programas de bienestar,0,1,1,job,none,,,0.2832,develop program ideas
servicio medico,Servicio médico,0,1,1,job,none,,,0.3008,sell services
seguro de accidentes,Seguro de accidentes,0,1,1,job,none,,,0.4998,clear accident site
frameworks,frameworks,0,1,1,job,contains,http://data.europa.eu/esco/skill/24c200e5-be20-4370-a137-ab53797f3a17,software frameworks,0.5,
social benefits,Social benefits,0,1,1,job,contains,http://data.europa.eu/esco/skill/f28c3e9b-8666-48d4-a5e4-542ac193879b,advise on social security benefits,0.4,
dxc learning and certifications,DXC Learning and certifications,0,1,1,job,none,,,0.47,monitor airworthiness certifications
high documentation traceability,High documentation traceability,0,1,1,job,none,,,0.5731,implement traceability systems
agvs,AGVs,0,1,1,job,none,,,0.175,agronomy
gestion de wms,Gestión de WMS,0,1,1,job,none,,,0.3665,hand gestures
optimizacion de procesos logisticos,Optimización de procesos logísticos,0,1,1,job,none,,,0.4756,logistics
automatizacion de procesos logisticos,Automatización de procesos logísticos,0,1,1,job,none,,,0.4598,logistics
diseno de procesos logisticos,Diseño de procesos logísticos,0,1,1,job,none,,,0.5479,logistics
club de beneficios,Club de beneficios,0,1,1,job,none,,,0.4206,communicate with beneficiaries
formacion tecnologica,Formación tecnológica,0,1,1,job,none,,,0.2857,use meteorological information
guarderia,Guardería,0,1,1,job,none,,,0.257,position guardrails and toeboards
vale de comida/restaurante,Vale de comida/restaurante,0,1,1,job,none,,,0.6037,manage restaurant service
ingles (alto),Inglés (alto),0,1,1,job,none,,,0.332,consult to produce single malt beverages
dinamico,dinámico,0,1,1,job,none,,,0.273,aerodynamics
oportunidad de continuar en campanas tecnologicas,oportunidad de continuar en campañas tecnológicas,0,1,1,job,none,,,0.3199,continually survey meteorological conditions
atencion al cliente,atención al cliente,0,1,1,job,none,,,0.3657,coach clients
experiencia en ventas,experiencia en ventas,0,1,1,job,none,,,0.5748,use experience map
conocimiento de realidad virtual,conocimiento de realidad virtual,0,1,1,job,none,,,0.4356,develop virtual game engine
trato con publico,trato con público,0,1,1,job,none,,,0.5187,public law
performance marketing,Performance marketing,0,1,1,job,none,,,0.6107,marketing mix
campanas digitales y de redes sociales,Campañas digitales y de redes sociales,0,1,1,job,none,,,0.3104,create digital files
social listening (sprout social),Social Listening (Sprout Social),0,1,1,job,none,,,0.4518,social mediation
social listening (brandwatch),Social Listening (Brandwatch),0,1,1,job,none,,,0.3647,trendwatching
social listening (youscan),Social Listening (Youscan),0,1,1,job,none,,,0.3564,listen actively
social listening (sprinklr),Social Listening (Sprinklr),0,1,1,job,none,,,0.3327,types of sprinklers
orientacion a la mejora continua,Orientación a la mejora continua,0,1,1,job,none,,,0.3837,ensure client orientation
actitud,Actitud,0,1,1,job,none,,,0.259,develop strong attitudes in sports
erp,ERP,0,1,1,job,contains,http://data.europa.eu/esco/skill/09f4c52b-ac72-4f0e-a8ae-78bb1d7bffba,transportation software related to an ERP system,0.1429,
agv,AGV,0,1,1,job,none,,,0.175,agronomy
wms,WMS,0,1,1,job,none,,,0.1927,LAMS
reduccion de costos,Reducción de costos,0,1,1,job,none,,,0.3247,reduce dots
mejora continua,Mejora continua,0,1,1,job,none,,,0.3905,continually survey meteorological conditions
analisis de kpis,Análisis de KPIs,0,1,1,job,none,,,0.243,manage social crisis
conocimiento de mes,Conocimiento de MES,0,1,1,job,none,,,0.1558,support local economies
conocimiento de erp,Conocimiento de ERP,0,1,1,job,none,,,0.2626,transportation software related to an ERP system
causal modeling,Causal modeling,0,1,1,job,none,,,0.3822,3D modelling
etl/elt pipelines,ETL/ELT pipelines,0,1,1,job,fuzzy,http://data.europa.eu/esco/skill/c1d7a6df-92e8-4b2f-9259-e04dd7242be3,types of pipelines,0.7333,
"wellbeing program (gym discounts, physiotherapy, sports tournaments, fruit)","Wellbeing program (gym discounts, physiotherapy, sports tournaments, fruit)",0,1,1,job,none,,,0.3822,physiotherapy
27 vacation days per year,27 vacation days per year,0,1,1,job,none,,,0.1849,yeast fermentation principles
hybrid work model (up to 60% remote),Hybrid work model (up to 60% remote),0,1,1,job,fuzzy,http://data.europa.eu/esco/skill/67a118f4-8a5f-48f7-8e5f-de34b9ca2c37,Hybrid model,0.8062,
doctorate degree,Doctorate degree,0,1,1,job,none,,,0.4071,supervise doctoral students
javascript data visualization (3d.js),JavaScript data visualization (3D.js),0,1,1,job,none,,,0.6963,JavaScript
"cloud computing (iaas, paas, caas, saas)","Cloud Computing (IaaS, PaaS, CaaS, SaaS)",0,1,1,job,none,,,0.3337,green computing
data wrangling / etl,Data Wrangling / ETL,0,1,1,job,none,,,0.3543,manage data
"data visualization (seaborn, matplotlib)","Data Visualization (Seaborn, Matplotlib)",0,1,1,job,none,,,0.4061,prepare visual data
ventajas financieras del grupo bancario,Ventajas financieras del grupo bancario,0,1,1,job,none,,,0.4109,liaise with financiers
publicidad/analytics connectors,Publicidad/analytics connectors,0,1,1,job,none,,,0.4677,web analytics
social web apis,Social Web APIs,0,1,1,job,none,,,0.4036,social mediation
data modeling,Data modeling,0,1,1,job,none,,,0.6554,data models
nosql databases,NoSQL databases,0,1,1,job,fuzzy,http://data.europa.eu/esco/skill/76ef6ed3-1658-4a1a-9593-204d799c6d0c,NoSQL,0.7203,
sql databases,SQL databases,0,1,1,job,fuzzy,http://data.europa.eu/esco/skill/4463a721-69f3-413d-8321-43e3af13a4f1,use databases,0.7669,
javascript visualization (3d.js),JavaScript visualization (3D.js),0,1,1,job,fuzzy,http://data.europa.eu/esco/skill/3cd569a2-4f88-4c1e-9995-8dce8c5e51a7,JavaScript,0.7247,
large-scale ml implementation,Large-scale ML implementation,0,1,1,job,none,,,0.5903,analyse large-scale data in healthcare
cloud computing,Cloud Computing,0,1,1,job,none,,,0.5371,green computing
data wrangling,Data Wrangling,0,1,1,job,none,,,0.378,manage data
seguro medico y dental privado,Seguro médico y dental privado,0,1,1,job,none,,,0.2761,medico-biological and medical sciences related to dentistry
23 dias habiles de vacaciones + dia libre por cumpleanos,23 días hábiles de vacaciones + día libre por cumpleaños,0,1,1,job,none,,,0.1644,fibre optics
budget management,Budget management,0,1,1,job,none,,,0.6684,manage budgets
cross‐functional collaboration,Cross‑functional collaboration,0,1,1,job,none,,,0.4428,collaborate on international energy projects
impact orientation,Impact orientation,0,1,1,job,none,,,0.5992,ensure client orientation
structured thinking,Structured thinking,0,1,1,job,none,,,0.5984,systems thinking
executive storytelling,Executive storytelling,0,1,1,job,none,,,0.3423,ensure sentence execution
sprout social,Sprout Social,0,1,1,job,none,,,0.4626,social mediation
brandwatch,Brandwatch,0,1,1,job,none,,,0.4803,trendwatching
youscan,Youscan,0,1,1,job,none,,,0.3919,scan photos
sprinklr,Sprinklr,0,1,1,job,none,,,0.6627,types of sprinklers
experiment design,Experiment design,0,1,1,job,none,,,0.6067,perform chemical experiments
creative thinking,Creative thinking,0,1,1,job,none,,,0.6545,systems thinking
strong communication,Strong communication,0,1,1,job,fuzzy,http://data.europa.eu/esco/skill/15d76317-c71a-4fa2-aadc-2ecc34e627b7,communication,0.701,
plan de carrera personalizado,Plan de carrera personalizado,0,1,1,job,none,,,0.4479,use personality tests
fast learner,Fast learner,0,1,1,job,none,,,0.3068,perform fast changeover
solutions‐driven,Solutions‑driven,0,1,1,job,none,,,0.4999,create solutions to problems
advanced prompting,Advanced prompting,0,1,1,job,none,,,0.5083,plan advanced nursing care
programa de voluntariado (40 h al ano),Programa de voluntariado (40 h al año),0,1,1,job,none,,,0.3734,manage volunteers
movilidad interna dentro de la empresa,Movilidad interna dentro de la empresa,0,1,1,job,none,,,0.2737,international law
posibilidad de llevar mascota a la oficina,Posibilidad de llevar mascota a la oficina,0,1,1,job,none,,,0.1966,assess coverage possibilities
modelo hibrido de trabajo (remoto y presencial),Modelo híbrido de trabajo (remoto y presencial),0,1,1,job,none,,,0.2314,Hybrid model
"tarjetas restaurante, transporte y guarderia (cobee)","Tarjetas restaurante, transporte y guardería (Cobee)",0,1,1,job,none,,,0.4366,manage restaurant service
compensacion teletrabajo 66 € brutos mensuales,Compensación teletrabajo 66 € brutos mensuales,0,1,1,job,none,,,0.3258,calculate compensation payments
"programa de wellbeing (descuentos en gimnasios, fisioterapia, torneos deportivos, fruta)","Programa de wellbeing (descuentos en gimnasios, fisioterapia, torneos deportivos, fruta)",0,1,1,job,none,,,0.3134,support children's wellbeing
trabajo hibrido (hasta 60% remoto),Trabajo híbrido (hasta 60% remoto),0,1,1,job,none,,,0.2542,prepare pasta
gestion de expectativas,Gestión de expectativas,0,1,1,job,none,,,0.4255,communicate expectations of fight actions
influencia,Influencia,0,1,1,job,none,,,0.5771,influence legislators
monitoring,Monitoring,0,1,1,job,contains,http://data.europa.eu/esco/skill/1c218559-82fd-45f9-b2db-1734321b3edc,perform antepartum fetal monitoring,0.25,
azure key vault,Azure Key Vault,0,1,1,job,none,,,0.5763,manage bank vault
azure app services,Azure App Services,0,1,1,job,none,,,0.6808,sell services
azure functions,Azure Functions,0,1,1,job,none,,,0.6282,packaging functions
gympass membership,Gympass membership,0,1,1,job,fuzzy,http://data.europa.eu/esco/skill/9f2385b1-4409-4db2-8342-77377d5b18df,manage membership,0.7114,
english and spanish lessons,English and Spanish lessons,0,1,1,job,none,,,0.6054,English
flexible remuneration with tax exemption via cobee,Flexible remuneration with tax exemption via Cobee,0,1,1,job,none,,,0.3829,perform services in a flexible manner
health insurance,Health insurance,0,1,1,job,fuzzy,http://data.europa.eu/esco/skill/15d6d4e9-9b4b-4a93-aea5-a29a67b6d9e7,insurance law,0.7138,
young international team,Young international team,0,1,1,job,none,,,0.6182,international law
home office friendly and flexible schedule,Home office friendly and flexible schedule,0,1,1,job,none,,,0.3823,perform services in a flexible manner
madrid office with travel opportunities,Madrid office with travel opportunities,0,1,1,job,none,,,0.57,identify opportunities
40% discount on fever events,40% discount on Fever events,0,1,1,job,none,,,0.3983,plan events
dynamic work environment,Dynamic work environment,0,1,1,job,none,,,0.5468,work in cold environments
mentorship and guidance,Mentorship and guidance,0,1,1,job,none,,,0.6388,provide mentorship
international company with presence in 40+ countries,International company with presence in 40+ countries,0,1,1,job,none,,,0.447,international law
data‐driven testing,Data‑driven testing,0,1,1,job,none,,,0.4175,use testing equipment
legacy modernization experience,Legacy modernization experience,0,1,1,job,none,,,0.4646,use experience map
technical documentation generation,Technical documentation generation,0,1,1,job,fuzzy,http://data.europa.eu/esco/skill/cffc3e97-e942-4b13-a2f3-0bf4910c06d3,use technical documentation,0.8015,
unit test coverage ≥60%,Unit test coverage ≥60%,0,1,1,job,none,,,0.4136,assess coverage possibilities
vulnerability identification and resolution,Vulnerability identification and resolution,0,1,1,job,none,,,0.5075,perform security vulnerability assessments
ci/cd (basic),CI/CD (basic),0,1,1,job,none,,,0.4486,basic chemicals
colaboracion con equipos creativos,Colaboración con equipos creativos,0,1,1,job,none,,,0.3254,laboratory equipment
dress code casual,Dress code casual,0,1,1,job,none,,,0.43,dress actors
acceso a la plataforma gympass,Acceso a la plataforma Gympass,0,1,1,job,none,,,0.2738,compass navigation
"plan de retribucion flexible (tickets restaurante, tickets guarderia, seguro medico para familiar)","Plan de retribución flexible (tickets restaurante, tickets guardería, seguro médico para familiar)",0,1,1,job,none,,,0.4698,sell tickets
seguro medico privado con poliza dental y seguro de accidentes,Seguro médico privado con póliza dental y seguro de accidentes,0,1,1,job,none,,,0.2936,prevent work accidents
advance salary option through payflow,Advance salary option through Payflow,0,1,1,job,none,,,0.3052,interact through digital technologies
"free food, drink and fruit","Free food, drink and fruit",0,1,1,job,none,,,0.3555,fruit and vegetable products
acceso a certificaciones y formaciones de partners tecnologicos,Acceso a certificaciones y formaciones de partners tecnológicos,0,1,1,job,none,,,0.2939,liaise with cultural partners
performance optimization,Performance optimization,0,1,1,job,none,,,0.5862,optimise financial performance
security,Security,0,1,1,job,contains,http://data.europa.eu/esco/skill/bf3e70b4-b65e-4595-81d4-e3bb846f0672,security panels,0.5,
reliability,Reliability,0,1,1,job,contains,http://data.europa.eu/esco/skill/b74fd765-e1ae-4f56-a188-45cd782bca01,assess reliability of data,0.25,
access to dxc learning and official certifications,Access to DXC Learning and official certifications,0,1,1,job,none,,,0.3874,monitor airworthiness certifications
excellent work environment,Excellent work environment,0,1,1,job,none,,,0.5306,work in cold environments
french language,French language,0,1,1,job,fuzzy,http://data.europa.eu/esco/skill/e747e77e-0ea1-4001-8b07-1d11946b5f1b,French,0.7195,
intelligent document processing,Intelligent Document Processing,0,1,1,job,none,,,0.5118,business intelligence
speech-to-text,Speech-to-text,0,1,1,job,none,,,0.4244,speech techniques
large language models,Large Language Models,0,1,1,job,none,,,0.5518,sign language
retrieval-augmented generation,Retrieval-Augmented Generation,0,1,1,job,none,,,0.3241,set up generators
cloud integration,Cloud integration,0,1,1,job,none,,,0.5259,cloud technologies
work‐life balance support,work‑life balance support,0,1,1,job,none,,,0.4942,balance tyres
"competitive salary (35,000‐39,000 eur gross)","competitive salary (35,000‑39,000 EUR gross)",0,1,1,job,none,,,0.4226,competition law
flexible remote work (40-60%),flexible remote work (40-60%),0,1,1,job,none,,,0.5475,perform services in a flexible manner
full-time schedule (monday to friday),full-time schedule (Monday to Friday),0,1,1,job,none,,,0.4167,plan schedule
diverse collaborative team,diverse collaborative team,0,1,1,job,none,,,0.5314,collaborate with coaching team
agile and motivating environment,agile and motivating environment,0,1,1,job,none,,,0.4525,airport operating environment
professional development in pedagogia simplon.co,professional development in pedagogía Simplon.co,0,1,1,job,none,,,0.5555,manage personal professional development
cutting-edge projects,Cutting-edge projects,0,1,1,job,none,,,0.4652,cultural projects
produccio audiovisual,Producció audiovisual,0,1,1,job,fuzzy,http://data.europa.eu/esco/skill/bc8b2c74-cce5-497e-85c2-51d3ede632ad,audiovisual products,0.8959,
familiaritat amb eines d'ia generativa,Familiaritat amb eines d'IA generativa,0,1,1,job,none,,,0.3181,familiarise yourself with the work to be remounted
capacidad de tutoria,Capacidad de tutoría,0,1,1,job,none,,,0.3842,tutor students
pedagogia,Pedagogía,0,1,1,job,fuzzy,http://data.europa.eu/esco/skill/a117f32c-662b-4dd9-b739-1230dd04cb60,pedagogy,0.7614,
tutoria,Tutoría,0,1,1,job,none,,,0.5215,tutor students
modelado de aprendizaje automatico,Modelado de aprendizaje automático,0,1,1,job,none,,,0.4442,drive automatic car
variable compensation,Variable compensation,0,1,1,job,none,,,0.5345,calculate compensation payments
partial remote work (3 days/week),Partial remote work (3 days/week),0,1,1,job,none,,,0.348,use remote control equipment
lambda,Lambda,0,1,1,job,none,,,0.3274,LAMS
emr,EMR,0,1,1,job,none,,,0.1558,emergency cases
ai agents,AI agents,0,1,1,job,none,,,0.5201,medical contrast agents
aws lambda,AWS Lambda,0,1,1,job,none,,,0.2564,LAMS
aws emr,AWS EMR,0,1,1,job,none,,,0.2881,minerals laws
er modeling,ER modeling,0,1,1,job,none,,,0.4777,3D modelling
salario: 9 €/hora brutos + incentivos por objetivos,Salario: 9 €/hora brutos + incentivos por objetivos,0,1,1,job,none,,,0.2816,determine salaries
social responsibility initiatives,Social responsibility initiatives,0,1,1,job,none,,,0.6346,corporate social responsibility
angles (avancat),Anglès (avançat),0,1,1,job,none,,,0.1854,Javanese
catala (avancat),Català (avançat),0,1,1,job,none,,,0.6075,Catalan
castella (avancat),Castellà (avançat),0,1,1,job,none,,,0.2479,cast metal
lideratge d'equips,Lideratge d'equips,0,1,1,job,none,,,0.2961,demonstrate consideration
voluntat d'aprendre continuament,Voluntat d'aprendre continuament,0,1,1,job,none,,,0.3652,manage volunteers
adaptabilitat,Adaptabilitat,0,1,1,job,none,,,0.375,rehabilitation
bon criteri visual,Bon criteri visual,0,1,1,job,none,,,0.427,prepare visual data
esperit pioner,Esperit pioner,0,1,1,job,none,,,0.1936,sell confectionery products
mentalitat exploradora,Mentalitat exploradora,0,1,1,job,none,,,0.3516,carry out geological explorations
curiositat,Curiositat,0,1,1,job,none,,,0.6182,demonstrate curiosity
synthesia,Synthesia,0,1,1,job,none,,,0.5192,synthesise financial information
firefly,Firefly,0,1,1,job,none,,,0.2999,build a fire
experiencia davant de camera,Experiència davant de càmera,0,1,1,job,none,,,0.4767,operate a camera
coneixement profund del llenguatge audiovisual,Coneixement profund del llenguatge audiovisual,0,1,1,job,none,,,0.6386,audiovisual equipment
lideratge de petits equips,Lideratge de petits equips,0,1,1,job,none,,,0.2345,demonstrate consideration
gestio de projectes,Gestió de projectes,0,1,1,job,none,,,0.4034,manage ICT project
autonomia tecnica,Autonomía técnica,0,1,1,job,none,,,0.5589,patient autonomy
oportunidades de desarrollo y crecimiento profesional,Oportunidades de desarrollo y crecimiento profesional,0,1,1,job,none,,,0.2763,manage personal professional development in sport
adaptable,Adaptable,0,1,1,job,none,,,0.4418,adapt sets
responsable,Responsable,0,1,1,job,none,,,0.4507,first response
experiencia con financiacion horizon europe,Experiencia con financiación Horizon Europe,0,1,1,job,none,,,0.3614,use experience map
master o doctorado,Máster o Doctorado,0,1,1,job,none,,,0.4166,supervise doctoral students
reinforcement learning,Reinforcement Learning,0,1,1,job,none,,,0.619,set up sound reinforcement system
imitation learning,Imitation Learning,0,1,1,job,none,,,0.5198,imitation jewellery
manipulacion robotica,Manipulación robótica,0,1,1,job,none,,,0.5769,robotics
gestion de propuestas,Gestión de propuestas,0,1,1,job,none,,,0.2696,hand gestures
plan de desarrollo,Plan de desarrollo,0,1,1,job,none,,,0.2576,plan events
600 € brutos remuneration,600 € brutos remuneration,0,1,1,job,none,,,0.2184,manage funeral equipment
enthusiasm,Enthusiasm,0,1,1,job,contains,http://data.europa.eu/esco/skill/22b7d99d-252f-4572-8e3c-438ea87607eb,demonstrate enthusiasm,0.5,
salari brut anual 20.000 €,Salari brut anual 20.000 €,0,1,1,job,none,,,0.3943,determine salaries
40 hores setmanals,40 hores setmanals,0,1,1,job,none,,,0.2524,clean patients' ear canals
contracte indefinit,Contracte indefinit,0,1,1,job,none,,,0.4288,contract law
"master's degree in software engineering, data engineering, machine learning, ai, or data science","Master's degree in Software Engineering, Data Engineering, Machine Learning, AI, or Data Science",0,1,1,job,none,,,0.4656,"mining, construction and civil engineering machinery products"
git (gitlab),Git (GitLab),0,1,1,job,none,,,0.2602,MATLAB
pipeline design,Pipeline design,0,1,1,job,none,,,0.6352,create designs for pipeline engineering
"model integration (langchain, semantic kernel)","Model integration (LangChain, Semantic Kernel)",0,1,1,job,none,,,0.6774,manage ICT semantic integration
normativas y certificacion de dispositivos medicos,Normativas y certificación de dispositivos médicos,0,1,1,job,none,,,0.2991,dispose medical waste
procesamiento de senales biomedicas,Procesamiento de señales biomédicas,0,1,1,job,none,,,0.4962,biomedical science
diseno y validacion de algoritmos de ia,Diseño y validación de algoritmos de IA,0,1,1,job,none,,,0.4216,algorithms
ofimatica,Ofimática,0,1,1,job,none,,,0.4002,Informatica PowerCenter
ingles (intermedio/avanzado),Inglés (intermedio/avanzado),0,1,1,job,none,,,0.2821,colour grade images with digital intermediate
continuous training in generative ai,continuous training in generative AI,0,1,1,job,none,,,0.5575,operate continuous miner
professional growth plan,professional growth plan,0,1,1,job,none,,,0.536,plan presence at professional events
distributed systems,distributed systems,0,1,1,job,none,,,0.6709,distributed computing
software architecture,software architecture,0,1,1,job,contains,http://data.europa.eu/esco/skill/2450c3b3-e78e-435b-b84d-e05d984e71dc,software architecture models,0.6667,
claude api,Claude API,0,1,1,job,none,,,0.1865,pose nude
gemini api,Gemini API,0,1,1,job,none,,,0.3097,demining operations
colaboracion con universidades y centros de investigacion lideres,Colaboración con universidades y centros de investigación líderes,0,1,1,job,none,,,0.3323,perform laboratory investigations
"european ai regulations (ai act, gdpr, cra)","European AI regulations (AI Act, GDPR, CRA)",0,1,1,job,none,,,0.4878,European Train Control System
linux server administration,Linux server administration,0,1,1,job,none,,,0.5388,education administration
social impact,social impact,0,1,1,job,contains,http://data.europa.eu/esco/skill/696e604d-53d2-4243-a6cb-a99663caa119,monitor social impact,0.6667,
spanish (c2),Spanish (C2),0,1,1,job,fuzzy,http://data.europa.eu/esco/skill/14ee9f76-3524-43d5-8a1a-5ba8283f8bd7,Spanish,0.9619,
high social commitment,high social commitment,0,1,1,job,none,,,0.6171,meet commitments
adaptability to change,adaptability to change,0,1,1,job,none,,,0.694,adapt to change
leadership with empathy,leadership with empathy,0,1,1,job,none,,,0.6189,provide leadership
mypy,mypy,0,1,1,job,none,,,0.2311,MySQL
flake8,flake8,0,1,1,job,none,,,0.5621,store soap flakes
pytest,pytest,0,1,1,job,none,,,0.2245,test materials
aws ai,AWS AI,0,1,1,job,none,,,0.2517,minerals laws
google vertex ai,Google Vertex AI,0,1,1,job,none,,,0.6156,use Google Search
google gemini api,Google Gemini API,0,1,1,job,none,,,0.64,use Google Search
"vector databases (chroma, weaviate, pinecone)","Vector databases (Chroma, Weaviate, Pinecone)",0,1,1,job,none,,,0.4995,use databases
python development,Python development,0,1,1,job,none,,,0.48,Python (computer programming)
jupyter notebook,Jupyter Notebook,0,1,1,job,none,,,0.3242,book cargo
habilidades basicas de manejo del ordenador,Habilidades básicas de manejo del ordenador,0,1,1,job,none,,,0.2355,basic chemicals
iniciativa y espiritu emprendedor,Iniciativa y espíritu emprendedor,0,1,1,job,none,,,0.2842,spiritualism
equality and non-discrimination policy,Equality and non-discrimination policy,0,1,1,job,none,,,0.4603,ICT quality policy
hybrid work (on-site and remote),Hybrid work (on-site and remote),0,1,1,job,none,,,0.5261,Hybrid model
career growth opportunities,Career growth opportunities,0,1,1,job,none,,,0.5962,identify opportunities
long-term employment,Long-term employment,0,1,1,job,none,,,0.5826,employment law
community involvement,Community involvement,0,1,1,job,none,,,0.5113,citizen involvement in healthcare
